Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms,  uniquenessRatio
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2379, 14.6987, 71.3653, 0, 205, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2311, 13.8266, 76.2255, 0, 205, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2383, 13.3215, 73.9907, 0, 206, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2330, 13.5231, 70.781, 0, 210, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 2309, 12.4991, 67.2496, 0, 209, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2359, 15.6933, 65.7215, 1, 209, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 2174, 11.2728, 78.8056, 0, 208, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 2242, 10.2926, 83.3809, 0, 208, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 2204, 10.1554, 84.6015, 0, 208, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 2104, 9.69691, 81.4717, 0, 206, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 2075, 9.79648, 83.9123, 0, 209, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 2195, 9.40586, 89.3354, 0, 210, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 2117, 9.41111, 89.1064, 0, 207, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 2195, 9.68466, 89.7785, 0, 209, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 2152, 9.85622, 90.7957, 0, 208, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 2060, 9.7468, 87.6607, 0, 208, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 2166, 9.71748, 87.4212, 0, 209, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 2236, 10.2403, 90.3249, 0, 208, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 2153, 9.60565, 91.8625, 0, 210, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 2313, 10.1549, 90.9585, 0, 207, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 2285, 10.0337, 89.6857, 0, 210, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 2269, 9.83281, 86.7762, 0, 211, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 2192, 9.74505, 89.6804, 0, 208, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 2390, 9.62491, 86.0075, 0, 207, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 2246, 9.50061, 87.9191, 0, 209, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 2223, 9.35946, 89.7238, 0, 235, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 2287, 9.4947, 90.8825, 0, 225, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 2255, 9.47457, 88.3518, 0, 225, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 2263, 10.1731, 89.4405, 0, 222, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 2371, 9.86957, 90.1583, 0, 256, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 2390, 9.94529, 83.9195, 0, 264, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 2278, 9.82843, 89.2523, 0, 232, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 2230, 9.56408, 87.3295, 0, 282, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 2256, 9.92932, 88.6202, 0, 239, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 2348, 10.0013, 82.9632, 0, 225, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 2248, 9.46888, 88.6125, 0, 252, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 2210, 9.81793, 90.0565, 0, 254, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 2339, 10.0274, 87.7464, 0, 222, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 2332, 9.69625, 87.9439, 0, 217, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 2371, 10.9417, 88.7628, 0, 215, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 2391, 9.99059, 90.768, 0, 214, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 2283, 9.1671, 86.2384, 0, 259, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 2342, 9.61747, 89.8755, 0, 224, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 2235, 9.49886, 89.1222, 0, 215, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 2352, 9.74024, 88.0691, 0, 210, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 2332, 9.6341, 88.9967, 0, 209, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 2319, 9.61857, 87.5693, 0, 232, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 2419, 9.65708, 88.7361, 0, 216, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 2365, 10.2394, 87.1415, 0, 213, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 2394, 10.1913, 86.9583, 0, 211, 0
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2379, 14.6987, 71.3653, 0, 211, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2311, 13.8266, 76.2255, 0, 211, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2383, 13.3215, 73.9907, 0, 211, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2330, 13.5231, 70.781, 0, 209, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,4, 2309, 12.4991, 67.2496, 0, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,5, 2359, 15.6933, 65.7215, 1, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,6, 2174, 11.2728, 78.8056, 0, 209, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,7, 2242, 10.2926, 83.3809, 0, 211, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,8, 2204, 10.1554, 84.6015, 0, 212, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,9, 2104, 9.69691, 81.4717, 0, 211, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,10, 2075, 9.79648, 83.9123, 0, 206, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,11, 2195, 9.40586, 89.3354, 0, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,12, 2117, 9.41111, 89.1064, 0, 209, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,13, 2195, 9.68466, 89.7785, 0, 207, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,14, 2152, 9.85622, 90.7957, 0, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,15, 2060, 9.7468, 87.6607, 0, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,16, 2166, 9.71748, 87.4212, 0, 206, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,17, 2236, 10.2403, 90.3249, 0, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,18, 2153, 9.60565, 91.8625, 0, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,19, 2313, 10.1549, 90.9585, 0, 207, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,20, 2285, 10.0337, 89.6857, 0, 212, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,21, 2269, 9.83281, 86.7762, 0, 209, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,22, 2192, 9.74505, 89.6804, 0, 208, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,23, 2390, 9.62491, 86.0075, 0, 212, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,24, 2246, 9.50061, 87.9191, 0, 209, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,25, 2223, 9.35946, 89.7238, 0, 212, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,26, 2287, 9.4947, 90.8825, 0, 214, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,27, 2255, 9.47457, 88.3518, 0, 211, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,28, 2263, 10.1731, 89.4405, 0, 213, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,29, 2371, 9.86957, 90.1583, 0, 259, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,30, 2390, 9.94529, 83.9195, 0, 269, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,31, 2278, 9.82843, 89.2523, 0, 237, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,32, 2230, 9.56408, 87.3295, 0, 286, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,33, 2256, 9.92932, 88.6202, 0, 242, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 2348, 10.0013, 82.9632, 0, 226, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 2248, 9.46888, 88.6125, 0, 255, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 2210, 9.81793, 90.0565, 0, 256, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 2339, 10.0274, 87.7464, 0, 227, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 2332, 9.69625, 87.9439, 0, 221, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 2371, 10.9417, 88.7628, 0, 216, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 2391, 9.99059, 90.768, 0, 212, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 2283, 9.1671, 86.2384, 0, 258, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 2342, 9.61747, 89.8755, 0, 224, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 2235, 9.49886, 89.1222, 0, 215, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 2352, 9.74024, 88.0691, 0, 213, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 2332, 9.6341, 88.9967, 0, 213, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 2319, 9.61857, 87.5693, 0, 240, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 2419, 9.65708, 88.7361, 0, 222, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 2365, 10.2394, 87.1415, 0, 217, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 2394, 10.1913, 86.9583, 0, 216, 1
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2379, 14.6987, 71.3653, 0, 213, 2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2311, 13.8266, 76.2255, 0, 210, 2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2383, 13.3215, 73.9907, 0, 210, 2
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2330, 13.5231, 70.781, 0, 209, 2
